	id	title	year	genres	runtime	numvotes	rating	sub_id
0	111161	The Shawshank Redemption	1994	['Drama']	142	2081219	9.3	1951630887
1	468569	The Dark Knight	2008	['Action', 'Crime', 'Drama']	152	2047636	9.0	1951989529
2	1375666	Inception	2010	['Action', 'Adventure', 'Sci-Fi']	148	1823763	8.8	1952594403
3	137523	Fight Club	1999	['Drama']	139	1664375	8.8	318343
4	110912	Pulp Fiction	1994	['Crime', 'Drama']	154	1626888	8.9	320530
5	109830	Forrest Gump	1994	['Drama', 'Romance']	142	1595457	8.8	1951637834
6	120737	The Lord of the Rings: The Fellowship of the Ring	2001	['Adventure', 'Drama', 'Fantasy']	178	1497458	8.8	35207
7	133093	The Matrix	1999	['Action', 'Sci-Fi']	136	1494441	8.7	1951976249
8	167260	The Lord of the Rings: The Return of the King	2003	['Adventure', 'Drama', 'Fantasy']	201	1481216	8.9	1952298945
9	68646	The Godfather	1972	['Crime', 'Drama']	175	1428109	9.2	179950
10	1345836	The Dark Knight Rises	2012	['Action', 'Thriller']	164	1376716	8.4	1953262344
11	167261	The Lord of the Rings: The Two Towers	2002	['Adventure', 'Drama', 'Fantasy']	179	1339379	8.7	1951624233
12	816692	Interstellar	2014	['Adventure', 'Drama', 'Sci-Fi']	169	1283132	8.6	1954659816
13	114369	Se7en	1995	['Crime', 'Drama', 'Mystery']	127	1276219	8.6	1951992295
14	172495	Gladiator	2000	['Action', 'Adventure', 'Drama']	155	1202293	8.5	318786
15	1853728	Django Unchained	2012	['Drama', 'Western']	165	1200047	8.4	1953315082
16	372784	Batman Begins	2005	['Action', 'Adventure']	140	1184844	8.2	1952137325
17	848228	The Avengers	2012	['Action', 'Adventure', 'Sci-Fi']	143	1169441	8.1	1953189057
18	102926	The Silence of the Lambs	1991	['Crime', 'Drama', 'Thriller']	118	1123195	8.6	1952207883
19	76759	Star Wars: Episode IV - A New Hope	1977	['Action', 'Adventure', 'Fantasy']	121	1113397	8.6	1951740969
20	361748	Inglourious Basterds	2009	['Adventure', 'Drama', 'War']	153	1109802	8.3	1952225329
